a_type_1,a_type_2,a_hp,a_attack,a_defense,a_sp_atk,a_sp_def,a_speed,a_generation,a_legendary,b_type_1,b_type_2,b_hp,b_attack,b_defense,b_sp_atk,b_sp_def,b_speed,b_generation,b_legendary,did_a_win,pair_key
Psychic,Flying,106,90,130,90,154,110,2,1,Dragon,Electric,100,150,120,120,100,90,5,1,1,Lugia_vs_Zekrom
Bug,Ground,60,79,105,59,85,36,4,0,Normal,,85,110,90,45,90,80,5,0,0,Stoutland_vs_Wormadam Sandy Cloak
Water,Rock,54,78,103,53,45,22,5,0,Rock,Dragon,58,89,77,45,45,48,6,0,0,Tirtouga_vs_Tyrunt
Normal,,75,100,95,40,70,110,1,0,Electric,,80,120,79,95,79,70,4,0,1,Luxray_vs_Tauros
Bug,Steel,58,109,112,48,48,109,5,0,Psychic,,74,48,76,83,81,104,6,0,1,Durant_vs_Meowstic Male
Electric,Flying,50,65,107,105,107,86,4,0,Normal,Flying,45,40,60,40,75,50,3,0,1,Fan Rotom_vs_Swablu
Fire,,45,75,37,70,55,83,2,0,Rock,Bug,75,125,100,70,80,45,3,0,0,Armaldo_vs_Magby
Water,Ground,111,83,68,92,82,39,4,0,Rock,Dark,100,164,150,95,120,71,2,0,0,Gastrodon_vs_Mega Tyranitar
Dark,Fighting,50,75,70,35,70,48,5,0,Normal,,38,30,41,30,41,60,3,0,0,Scraggy_vs_Zigzagoon
Normal,Fairy,103,60,126,80,126,50,5,0,Poison,Dark,70,90,110,60,75,95,4,0,0,Drapion_vs_Mega Audino
Normal,,45,55,39,35,39,42,5,0,Water,,35,65,35,65,35,65,2,0,0,Patrat_vs_Remoraid
Normal,Flying,50,55,50,36,30,43,5,0,Water,,35,65,35,65,35,65,2,0,0,Pidove_vs_Remoraid
Water,Fairy,100,50,80,60,80,50,2,0,Grass,,56,61,65,48,45,38,6,0,1,Azumarill_vs_Chespin
Grass,Poison,50,75,35,70,30,40,1,0,Water,Steel,84,86,88,111,101,60,4,0,0,Bellsprout_vs_Empoleon
Psychic,,55,55,55,85,55,30,5,0,Ice,,51,65,65,80,75,59,5,0,0,Elgyem_vs_Vanillish
Normal,,55,66,44,44,56,85,4,0,Ice,Water,90,60,70,75,70,45,3,0,1,Buneary_vs_Sealeo
Bug,Rock,20,10,230,10,230,5,2,0,Water,,130,65,60,110,95,65,1,0,0,Shuckle_vs_Vaporeon
Grass,Ice,60,62,50,62,60,40,4,0,Water,Fighting,91,72,90,129,90,108,5,0,0,Keldeo Resolute Forme_vs_Snover
Psychic,Fighting,106,190,100,154,100,130,1,1,Steel,Ghost,60,150,50,150,50,60,6,0,0,Aegislash Blade Forme_vs_Mega Mewtwo X
Ground,,100,150,140,100,90,90,3,1,Fairy,,101,72,72,99,89,29,6,0,1,Aromatisse_vs_Groudon
Ice,Psychic,45,30,15,85,65,65,2,0,Ghost,Grass,43,70,48,50,60,38,6,0,1,Phantump_vs_Smoochum
Ground,,45,100,45,45,45,10,3,0,Grass,,75,75,55,105,85,30,2,0,0,Sunflora_vs_Trapinch
Fire,,59,59,58,90,70,73,6,0,Ice,,71,95,85,110,95,79,5,0,0,Braixen_vs_Vanilluxe
Normal,,70,70,70,70,70,70,3,0,Electric,Fire,50,65,107,105,107,86,4,0,0,Castform_vs_Heat Rotom
Bug,,45,22,60,27,30,29,6,0,Dragon,,66,117,70,40,50,67,5,0,0,Fraxure_vs_Spewpa
Water,Flying,95,125,79,60,100,81,1,0,Grass,Fighting,88,107,122,74,75,64,6,0,1,Chesnaught_vs_Gyarados
Water,Flying,45,20,50,60,120,50,4,0,Psychic,,48,72,48,72,48,48,2,0,1,Mantyke_vs_Unown
Dark,,60,105,60,120,60,105,5,0,Fire,,73,76,75,81,100,100,1,0,1,Ninetales_vs_Zoroark
Fighting,,105,140,95,55,65,45,5,0,Grass,,56,61,65,48,45,38,6,0,1,Chespin_vs_Conkeldurr
Normal,,73,115,60,60,60,90,3,0,Water,Ground,105,95,75,85,75,74,5,0,1,Seismitoad_vs_Zangoose
Grass,,80,82,100,83,100,80,2,0,Rock,Fighting,91,129,90,72,90,108,5,1,0,Meganium_vs_Terrakion
Grass,Steel,44,50,91,24,86,10,5,0,Grass,,70,60,75,110,75,90,5,0,0,Ferroseed_vs_Lilligant
Dark,,64,88,50,88,50,106,5,0,Grass,,75,75,95,75,95,113,5,0,0,Liepard_vs_Serperior
Dragon,Ice,125,170,100,120,90,95,5,1,Poison,Ground,81,102,77,85,75,85,1,0,1,Kyurem Black Kyurem_vs_Nidoking
Steel,,40,55,70,45,60,30,5,0,Water,Ice,90,70,80,70,95,70,1,0,0,Dewgong_vs_Klink
Psychic,,75,125,70,125,70,115,4,1,Grass,Poison,80,100,123,122,120,80,1,0,1,Azelf_vs_Mega Venusaur
Water,,30,45,55,70,55,85,1,0,Normal,,84,71,43,71,43,48,3,0,1,Loudred_vs_Staryu
Normal,,105,125,100,60,100,100,1,0,Dragon,Psychic,80,80,90,110,130,110,3,1,0,Latias_vs_Mega Kangaskhan
Bug,Flying,70,60,62,80,82,60,3,0,Grass,Dragon,70,110,75,145,85,145,3,0,0,Masquerain_vs_Mega Sceptile
Normal,Flying,50,55,50,36,30,43,5,0,Ground,Dark,50,72,35,35,35,65,5,0,0,Pidove_vs_Sandile
Fire,,58,64,58,80,65,80,1,0,Dark,Ghost,50,85,125,85,115,20,3,0,0,Charmeleon_vs_Mega Sableye
Bug,,65,73,55,47,75,85,3,0,Fire,Flying,90,100,90,125,85,90,1,1,0,Moltres_vs_Volbeat
Water,Flying,45,20,50,60,120,50,4,0,Fire,,75,98,63,98,63,101,5,0,0,Mantyke_vs_Simisear
Ghost,Dragon,150,120,100,120,100,90,4,1,Ghost,,45,100,135,65,135,45,4,0,1,Dusknoir_vs_Giratina Origin Forme
Steel,Psychic,67,89,116,79,116,33,4,0,Bug,Steel,70,130,100,55,80,65,2,0,0,Bronzong_vs_Scizor
Dark,Steel,45,85,70,40,40,60,5,0,Dark,,95,65,110,60,130,65,2,0,0,Pawniard_vs_Umbreon
Electric,Steel,70,70,115,130,90,60,4,0,Fire,Flying,78,81,71,74,69,126,6,0,0,Magnezone_vs_Talonflame
Dragon,,61,84,65,70,70,70,1,0,Dark,Psychic,53,54,53,37,46,45,6,0,1,Dragonair_vs_Inkay
Rock,Water,35,40,100,90,55,35,1,0,Water,,100,75,115,90,115,85,2,1,0,Omanyte_vs_Suicune
Bug,Steel,75,90,140,60,60,40,2,0,Water,,100,75,115,90,115,85,2,1,0,Forretress_vs_Suicune
Fire,,44,58,44,58,44,61,4,0,Bug,Grass,75,103,80,70,80,92,5,0,0,Chimchar_vs_Leavanny
Water,,53,51,53,61,56,40,4,0,Bug,Flying,65,65,45,75,45,95,2,0,0,Piplup_vs_Yanma
Normal,,50,45,45,35,35,50,3,0,Dragon,,65,95,100,60,50,50,3,0,0,Shelgon_vs_Skitty
Fire,,39,52,43,60,50,65,1,0,Ghost,Fire,60,40,60,95,60,55,5,0,1,Charmander_vs_Lampent
Fairy,,126,131,95,131,98,99,6,1,Normal,,150,160,100,95,65,100,3,0,0,Slaking_vs_Xerneas
Electric,,70,55,55,80,60,45,2,0,Bug,Steel,60,69,95,69,95,36,4,0,1,Flaaffy_vs_Wormadam Trash Cloak
Ice,Water,90,60,70,75,70,45,3,0,Electric,,60,50,40,85,75,95,3,0,0,Plusle_vs_Sealeo
Steel,Dragon,100,120,120,150,100,90,4,1,Normal,Water,79,85,60,55,60,71,4,0,1,Bibarel_vs_Dialga
Water,Flying,95,125,79,60,100,81,1,0,Rock,Water,30,80,90,55,45,55,1,0,1,Gyarados_vs_Kabuto
Bug,Poison,60,55,50,40,55,45,1,0,Fighting,,50,120,53,35,110,87,1,0,0,Hitmonlee_vs_Venonat
Grass,Fighting,60,130,80,60,60,70,3,0,Ice,,80,120,80,120,80,100,3,0,0,Breloom_vs_Mega Glalie
Grass,Dark,70,70,40,60,40,60,3,0,Poison,,55,47,52,40,40,41,1,0,1,Nidoran_vs_Nuzleaf
Ghost,Poison,60,65,80,170,95,130,1,0,Rock,Psychic,70,55,65,95,85,70,3,0,1,Lunatone_vs_Mega Gengar
Fighting,,75,125,75,30,75,85,5,0,Water,Ground,105,95,75,85,75,74,5,0,1,Sawk_vs_Seismitoad
Normal,,59,45,40,35,40,31,4,0,Normal,Fairy,115,45,20,45,25,20,1,0,1,Bidoof_vs_Jigglypuff
Ground,,45,100,45,45,45,10,3,0,Water,,80,80,80,80,80,80,4,0,0,Phione_vs_Trapinch
Water,Flying,60,50,100,85,70,65,3,0,Bug,Flying,70,110,80,55,80,105,1,0,0,Pelipper_vs_Scyther
Fire,,58,64,58,80,65,80,2,0,Fire,Fighting,90,93,55,70,55,55,5,0,1,Pignite_vs_Quilava
Dark,Psychic,86,92,88,68,75,73,6,0,Water,,80,92,65,65,80,68,1,0,1,Malamar_vs_Seaking
Fire,,58,64,58,80,65,80,1,0,Normal,,55,20,35,20,45,75,2,0,1,Charmeleon_vs_Smeargle
Normal,Flying,35,85,45,35,35,75,1,0,Ghost,Dark,50,92,108,92,108,35,4,0,0,Doduo_vs_Spiritomb
Normal,Psychic,70,80,65,90,65,85,2,0,Grass,Poison,45,50,55,75,65,30,1,0,1,Girafarig_vs_Oddish
Fire,Normal,62,50,58,73,54,72,6,0,Ice,Flying,45,55,45,65,45,75,2,0,0,Delibird_vs_Litleo
Electric,Fire,50,65,107,105,107,86,4,0,Grass,Poison,40,30,35,50,70,55,4,0,1,Budew_vs_Heat Rotom
Water,Fairy,100,50,80,60,80,50,2,0,Psychic,Flying,67,57,55,77,55,114,5,0,0,Azumarill_vs_Swoobat
Water,,55,104,105,94,75,52,3,0,Psychic,,45,30,50,55,65,45,5,0,1,Gothita_vs_Huntail
Ground,,10,55,25,35,45,95,1,0,Water,,55,55,45,63,45,45,5,0,0,Diglett_vs_Oshawott
Rock,Flying,75,140,65,112,65,110,5,0,Water,Flying,95,125,79,60,100,81,1,0,1,Archeops_vs_Gyarados
Psychic,,120,70,120,75,130,85,4,0,Ghost,Grass,43,70,48,50,60,38,6,0,1,Cresselia_vs_Phantump
Rock,Bug,45,95,50,40,50,75,3,0,Psychic,,120,70,120,75,130,85,4,0,0,Anorith_vs_Cresselia
Dragon,,45,75,60,40,30,50,3,0,Psychic,Fairy,68,85,65,165,135,100,3,0,0,Bagon_vs_Mega Gardevoir
Rock,Water,60,115,105,65,70,80,1,0,Fire,Fighting,90,93,55,70,55,55,5,0,1,Kabutops_vs_Pignite
Psychic,Fairy,68,65,65,125,115,80,3,0,Rock,Dark,100,134,110,95,100,61,2,0,1,Gardevoir_vs_Tyranitar
Electric,Steel,25,35,70,95,55,45,1,0,Water,,20,15,20,10,55,80,3,0,1,Feebas_vs_Magnemite
Bug,Flying,60,45,50,90,80,70,1,0,Electric,,60,50,70,80,80,140,1,0,0,Butterfree_vs_Electrode
Electric,Grass,50,65,107,105,107,86,4,0,Bug,,45,22,60,27,30,29,6,0,1,Mow Rotom_vs_Spewpa
Fire,Fighting,60,85,60,85,60,55,3,0,Water,,65,45,55,45,70,45,1,0,1,Combusken_vs_Seel
Grass,Ground,95,109,105,75,85,56,4,0,Psychic,,106,150,70,194,120,140,1,1,0,Mega Mewtwo Y_vs_Torterra
Grass,Dark,70,70,40,60,40,60,3,0,Ghost,Grass,49,66,70,44,55,51,6,0,1,Nuzleaf_vs_Pumpkaboo Average Size
Fairy,,95,70,73,95,90,60,1,0,Ground,,50,50,95,40,50,35,1,0,1,Clefable_vs_Cubone
Poison,Dark,63,63,47,41,41,74,4,0,Ice,Water,90,60,70,75,70,45,3,0,1,Sealeo_vs_Stunky
Grass,,70,85,65,105,85,120,3,0,Rock,Flying,80,135,85,70,95,150,1,0,0,Mega Aerodactyl_vs_Sceptile
Rock,Flying,80,105,65,60,75,130,1,0,Bug,Steel,60,69,95,69,95,36,4,0,1,Aerodactyl_vs_Wormadam Trash Cloak
Bug,Flying,70,60,62,80,82,60,3,0,Grass,Poison,80,100,123,122,120,80,1,0,0,Masquerain_vs_Mega Venusaur
Ghost,Dragon,150,100,120,100,120,90,4,1,Rock,Ground,50,64,50,45,50,41,2,0,1,Giratina Altered Forme_vs_Larvitar
Bug,Fighting,80,125,75,40,95,85,2,0,Normal,,73,95,62,85,65,85,2,0,0,Heracross_vs_Stantler
Normal,,70,70,70,70,70,70,3,0,Dragon,Flying,105,180,100,180,100,115,3,1,0,Castform_vs_Mega Rayquaza
Dragon,,61,84,65,70,70,70,1,0,Ghost,Grass,49,66,70,44,55,51,6,0,1,Dragonair_vs_Pumpkaboo Average Size
Normal,,135,85,40,40,85,5,4,0,Dragon,Psychic,80,90,80,130,110,110,3,1,1,Latios_vs_Munchlax
Ghost,Flying,90,50,34,60,44,70,4,0,Fighting,,75,80,55,25,35,35,5,0,1,Drifloon_vs_Timburr
Dark,,70,90,90,135,90,125,4,1,Normal,,55,66,44,44,56,85,4,0,1,Buneary_vs_Darkrai
Water,Fairy,70,20,50,20,50,40,2,0,Ghost,Grass,65,90,122,58,75,84,6,0,0,Gourgeist Average Size_vs_Marill
Normal,,60,90,70,60,120,40,3,0,Fire,Flying,78,81,71,74,69,126,6,0,0,Kecleon_vs_Talonflame
Psychic,Fairy,20,25,45,70,90,60,4,0,Electric,,90,75,85,115,90,55,2,0,1,Ampharos_vs_Mime Jr
Poison,,60,85,69,65,79,80,1,0,Psychic,Flying,55,45,43,55,43,72,5,0,1,Arbok_vs_Woobat
Poison,,70,62,67,55,55,56,1,0,Dragon,Ground,108,130,95,80,85,102,4,0,0,Garchomp_vs_Nidorina
Dark,Ice,70,120,65,45,85,125,4,0,Poison,Flying,85,90,80,70,80,130,2,0,0,Crobat_vs_Weavile
Water,,80,92,65,65,80,68,1,0,Psychic,,85,73,70,73,115,67,1,0,1,Hypno_vs_Seaking
Fire,,58,64,58,80,65,80,1,0,Bug,Poison,30,45,59,30,39,57,5,0,1,Charmeleon_vs_Venipede
Fighting,,67,82,62,46,48,43,6,0,Ground,,35,80,50,50,70,120,1,0,0,Dugtrio_vs_Pancham
Water,,71,73,88,120,89,59,6,0,Electric,,65,85,70,75,70,40,5,0,1,Clawitzer_vs_Eelektrik
Dragon,Electric,100,150,120,120,100,90,5,1,Water,,53,51,53,61,56,40,4,0,1,Piplup_vs_Zekrom
Normal,Flying,83,80,75,70,70,101,1,0,Rock,Fairy,50,100,150,100,150,50,6,1,1,Diancie_vs_Pidgeot
Bug,Fire,55,85,55,50,55,60,5,0,Electric,,65,65,60,110,95,130,1,0,0,Jolteon_vs_Larvesta
Electric,Flying,90,90,85,125,90,100,1,1,Electric,,85,115,80,105,80,50,5,0,1,Eelektross_vs_Zapdos
Dark,Ice,70,120,65,45,85,125,4,0,Water,,53,51,53,61,56,40,4,0,1,Piplup_vs_Weavile
Rock,Ice,77,59,50,67,63,46,6,0,Fire,,115,115,85,90,75,100,2,1,0,Amaura_vs_Entei
Poison,,105,105,75,65,100,50,1,0,Water,Dragon,75,95,95,95,95,85,2,0,0,Kingdra_vs_Muk
Rock,,30,45,135,45,90,30,3,0,Normal,,110,160,110,80,110,100,4,1,0,Nosepass_vs_Regigigas
Grass,,100,100,125,110,50,50,4,0,Water,,44,48,65,50,64,43,1,0,1,Squirtle_vs_Tangrowth
Rock,,85,135,130,60,80,25,5,0,Bug,Steel,60,69,95,69,95,36,4,0,0,Gigalith_vs_Wormadam Trash Cloak
Ghost,Fire,50,30,55,65,55,20,5,0,Fairy,,60,80,50,40,40,30,2,0,0,Litwick_vs_Snubbull
Psychic,Flying,72,58,80,103,80,97,5,0,Bug,Grass,60,95,80,60,80,30,1,0,1,Parasect_vs_Sigilyph
Psychic,,75,75,130,75,130,95,4,1,Bug,Steel,71,120,95,120,95,99,5,0,0,Genesect_vs_Uxie
Fire,Fighting,76,104,71,104,71,108,4,0,Water,,35,65,35,65,35,65,2,0,1,Infernape_vs_Remoraid
Ice,,65,60,110,130,95,65,4,0,Rock,Water,42,52,67,39,56,50,6,0,1,Binacle_vs_Glaceon
Rock,Grass,66,41,77,61,87,23,3,0,Rock,Water,30,80,90,55,45,55,1,0,0,Kabuto_vs_Lileep
Ghost,,60,60,60,105,105,105,4,0,Ground,Dragon,50,70,50,50,50,70,3,0,1,Mismagius_vs_Vibrava
Bug,,65,125,100,55,70,85,1,0,Bug,Fire,55,85,55,50,55,60,5,0,1,Larvesta_vs_Pinsir
Fire,Ground,70,100,70,105,75,40,3,0,Fairy,,54,45,47,75,98,52,6,0,0,Camerupt_vs_Floette
Bug,Fighting,80,185,115,40,105,75,2,0,Ground,Ghost,59,74,50,35,50,35,5,0,0,Golett_vs_Mega Heracross
Bug,Flying,60,70,50,100,50,65,3,0,Bug,Poison,40,55,99,40,79,47,5,0,1,Beautifly_vs_Whirlipede
Poison,,80,80,50,40,50,25,1,0,Fire,,115,115,85,90,75,100,2,1,0,Entei_vs_Grimer
Normal,Flying,45,50,43,40,38,62,6,0,Bug,,65,125,100,55,70,85,1,0,0,Fletchling_vs_Pinsir
Water,,70,92,65,80,55,98,5,0,Water,,30,105,90,25,25,50,1,0,1,Basculin_vs_Krabby
Normal,,40,45,35,40,40,90,1,0,Fire,Fighting,110,123,65,100,65,65,5,0,0,Emboar_vs_Meowth
Ghost,,58,50,145,95,105,30,5,0,Fairy,,78,52,60,63,65,23,6,0,1,Cofagrigus_vs_Spritzee
Ground,Flying,75,95,125,45,75,95,4,0,Normal,Flying,40,60,30,31,31,70,1,0,1,Gliscor_vs_Spearow
Dark,Flying,126,131,95,131,98,99,6,1,Ghost,Flying,150,80,44,90,54,80,4,0,1,Drifblim_vs_Yveltal
Normal,Flying,45,40,60,40,75,50,3,0,Grass,Flying,99,68,83,72,87,51,3,0,0,Swablu_vs_Tropius
Grass,Ice,90,132,105,132,105,30,4,0,Rock,,85,135,130,60,80,25,5,0,1,Gigalith_vs_Mega Abomasnow
Normal,,85,80,70,135,75,90,4,0,Ground,,100,150,140,100,90,90,3,1,0,Groudon_vs_PorygonZ
Psychic,,40,35,30,120,70,105,1,0,Rock,Steel,30,42,118,42,88,30,4,0,1,Kadabra_vs_Shieldon
Psychic,,75,125,70,125,70,115,4,1,Normal,,78,70,61,50,61,100,3,0,1,Azelf_vs_Linoone
Poison,,100,73,83,73,83,55,3,0,Ghost,,20,40,90,30,90,25,3,0,1,Duskull_vs_Swalot
Normal,Flying,70,83,50,37,50,60,5,0,Water,,45,67,60,35,50,63,1,0,0,Goldeen_vs_Rufflet
Water,Ground,95,85,85,65,65,35,2,0,Rock,Fighting,91,129,90,72,90,108,5,1,0,Quagsire_vs_Terrakion
Fighting,Psychic,60,60,75,60,75,80,3,0,Normal,,60,90,70,60,120,40,3,0,1,Kecleon_vs_Medicham
Fighting,,85,105,85,40,50,40,5,0,Water,Poison,80,70,65,80,120,100,1,0,0,Gurdurr_vs_Tentacruel
Ghost,Grass,65,90,122,58,75,84,6,0,Normal,Flying,76,65,45,92,42,91,4,0,0,Chatot_vs_Gourgeist Average Size
Normal,Flying,40,60,30,31,31,70,1,0,Fire,Flying,62,73,55,56,52,84,6,0,0,Fletchinder_vs_Spearow
Fighting,,65,105,60,60,70,95,1,0,Rock,Ground,55,95,115,45,45,35,1,0,1,Graveler_vs_Primeape
Grass,Poison,80,100,123,122,120,80,1,0,Rock,Water,35,40,100,90,55,35,1,0,1,Mega Venusaur_vs_Omanyte
Ghost,Dragon,150,120,100,120,100,90,4,1,Steel,Rock,70,110,180,60,60,50,3,0,1,Aggron_vs_Giratina Origin Forme
Bug,Water,40,30,32,50,52,65,3,0,Normal,,110,160,110,80,110,100,4,1,0,Regigigas_vs_Surskit
Water,,50,53,48,53,48,64,5,0,Water,Flying,40,30,30,55,30,85,3,0,0,Panpour_vs_Wingull
Normal,Flying,35,85,45,35,35,75,1,0,Rock,Dragon,82,121,119,69,59,71,6,0,1,Doduo_vs_Tyrantrum
Fighting,,50,105,79,35,110,76,1,0,Dragon,,46,87,60,30,40,57,5,0,1,Axew_vs_Hitmonchan
Psychic,Fairy,40,45,65,100,120,90,1,0,Psychic,,25,20,15,105,55,90,1,0,0,Abra_vs_Mr Mime
Normal,,85,110,90,45,90,80,5,0,Ice,,50,50,50,50,50,50,3,0,1,Snorunt_vs_Stoutland
Water,Fighting,91,72,90,129,90,108,5,0,Fairy,,35,20,65,40,65,20,2,0,1,Keldeo Resolute Forme_vs_Togepi
Grass,Poison,75,80,85,110,90,50,1,0,Ground,,35,80,50,50,70,120,1,0,1,Dugtrio_vs_Vileplume
Fire,,40,40,40,70,40,20,2,0,Bug,,77,85,51,55,51,65,4,0,0,Kricketune_vs_Slugma
Normal,Flying,62,77,62,50,42,65,5,0,Ice,,95,110,80,70,80,50,5,0,1,Beartic_vs_Tranquill
Ice,,55,69,85,32,35,28,6,0,Water,,54,63,52,83,56,97,6,0,0,Bergmite_vs_Frogadier
Dragon,Psychic,80,90,80,130,110,110,3,1,Bug,Steel,71,120,95,120,95,99,5,0,1,Genesect_vs_Latios
Rock,Ground,80,120,130,55,65,45,1,0,Fighting,Steel,70,145,88,140,70,112,4,0,0,Golem_vs_Mega Lucario
Normal,,85,80,70,135,75,90,4,0,Fire,Flying,90,100,90,125,85,90,1,1,0,Moltres_vs_PorygonZ
Psychic,,80,45,65,90,110,80,3,0,Psychic,,45,30,50,55,65,45,5,0,1,Gothita_vs_Grumpig
Bug,Poison,60,55,50,40,55,45,1,0,Electric,Ghost,50,50,77,95,77,91,4,0,0,Rotom_vs_Venonat
Rock,Dragon,82,121,119,69,59,71,6,0,Normal,Flying,100,50,50,76,96,70,2,0,1,Noctowl_vs_Tyrantrum
Normal,,80,80,80,55,55,90,3,0,Psychic,,50,95,90,95,90,180,3,1,0,Deoxys Speed Forme_vs_Vigoroth
Psychic,Fairy,38,35,35,65,55,50,3,0,Ground,,90,60,60,40,40,40,2,0,1,Kirlia_vs_Phanpy
Rock,Dark,100,164,150,95,120,71,2,0,Bug,,45,45,35,20,30,20,3,0,1,Mega Tyranitar_vs_Wurmple
Psychic,,48,72,48,72,48,48,2,0,Ghost,Poison,30,35,30,100,35,80,1,0,0,Gastly_vs_Unown
Psychic,,75,75,75,125,95,40,5,0,Water,Psychic,95,75,110,100,80,30,1,0,1,Beheeyem_vs_Slowbro
Psychic,,106,150,70,194,120,140,1,1,Grass,Poison,45,50,55,75,65,30,1,0,1,Mega Mewtwo Y_vs_Oddish
Normal,,95,80,105,40,70,100,2,0,Rock,Flying,80,105,65,60,75,130,1,0,0,Aerodactyl_vs_Miltank
Steel,Ground,75,125,230,55,95,30,2,0,Psychic,,65,40,50,125,60,30,5,0,0,Duosion_vs_Mega Steelix
Psychic,,85,73,70,73,115,67,1,0,Poison,Fighting,83,106,65,86,65,85,4,0,0,Hypno_vs_Toxicroak
Water,,30,105,90,25,25,50,1,0,Poison,Flying,75,80,70,65,75,90,1,0,0,Golbat_vs_Krabby
Fire,,40,45,40,62,60,60,6,0,Ground,Steel,110,135,60,50,65,88,5,0,0,Excadrill_vs_Fennekin
Normal,Flying,76,65,45,92,42,91,4,0,Electric,,70,75,80,135,80,135,3,0,0,Chatot_vs_Mega Manectric
Grass,Poison,80,82,83,100,100,80,1,0,Normal,Flying,45,50,43,40,38,62,6,0,1,Fletchling_vs_Venusaur
Poison,Bug,40,50,90,30,55,65,4,0,Normal,Flying,52,65,55,58,62,60,1,0,1,Farfetchd_vs_Skorupi
Ghost,Grass,85,100,122,58,75,54,6,0,Grass,Dragon,70,110,75,145,85,145,3,0,0,Gourgeist Super Size_vs_Mega Sceptile
Bug,Grass,60,59,85,79,105,36,4,0,Bug,Flying,60,45,50,90,80,70,1,0,0,Butterfree_vs_Wormadam Plant Cloak
Fire,Psychic,75,69,72,114,100,104,6,0,Grass,Poison,60,62,63,80,80,60,1,0,1,Delphox_vs_Ivysaur
Normal,Grass,80,100,70,60,70,95,5,0,Electric,Fire,50,65,107,105,107,86,4,0,1,Heat Rotom_vs_Sawsbuck
Water,Dragon,75,95,95,95,95,85,2,0,Psychic,,60,25,35,70,80,60,3,0,1,Kingdra_vs_Spoink
Rock,Flying,80,135,85,70,95,150,1,0,Water,,53,51,53,61,56,40,4,0,1,Mega Aerodactyl_vs_Piplup
Bug,,37,25,41,25,41,25,4,0,Bug,Poison,65,150,40,15,80,145,1,0,0,Kricketot_vs_Mega Beedrill
Fighting,Psychic,60,100,85,80,85,100,3,0,Rock,Ice,123,77,72,99,92,58,6,0,1,Aurorus_vs_Mega Medicham
Psychic,,80,45,65,90,110,80,3,0,Electric,Normal,44,38,33,61,43,70,6,0,1,Grumpig_vs_Helioptile
Rock,Water,30,80,90,55,45,55,1,0,Rock,Water,72,105,115,54,86,68,6,0,0,Barbaracle_vs_Kabuto
Water,,65,80,80,59,63,58,2,0,Ice,,71,95,85,110,95,79,5,0,0,Croconaw_vs_Vanilluxe
Ground,Dark,95,117,80,65,70,92,5,0,Normal,Flying,55,75,50,40,40,80,4,0,1,Krookodile_vs_Staravia
Ice,,55,69,85,32,35,28,6,0,Water,,55,65,95,95,45,85,1,0,0,Bergmite_vs_Seadra
Poison,Fighting,48,61,40,61,40,50,4,0,Dragon,Psychic,80,130,100,160,120,110,3,1,0,Croagunk_vs_Mega Latios
