first_pokemon,second_pokemon,winner,did_first_win
18,458,458,0
538,742,538,1
702,627,702,1
403,412,403,1
517,136,136,0
465,89,465,1
505,502,505,1
601,644,644,0
459,84,84,0
548,525,525,0
707,521,521,0
14,62,62,0
728,501,728,1
182,246,246,0
741,117,741,1
29,431,431,0
719,574,574,0
209,477,477,0
492,37,37,0
425,43,425,1
207,284,284,0
749,512,512,0
539,153,153,0
152,159,159,0
738,18,738,1
182,579,579,0
69,302,69,1
173,713,713,0
488,199,488,1
683,506,683,1
2,619,2,1
735,255,735,1
70,800,70,1
120,67,67,0
738,610,610,0
68,397,397,0
540,714,540,1
184,197,184,1
577,58,58,0
750,29,29,0
391,640,391,1
211,737,211,1
462,694,694,0
337,147,147,0
459,644,644,0
615,652,615,1
786,180,786,1
247,594,594,0
536,720,536,1
729,586,586,0
715,80,715,1
516,740,516,1
440,525,525,0
174,410,410,0
634,424,424,0
252,797,797,0
317,294,317,1
463,790,790,0
770,7,7,0
110,783,110,1
454,469,469,0
241,731,241,1
688,190,688,1
271,21,271,1
738,789,738,1
476,223,476,1
574,283,574,1
621,551,551,0
723,617,723,1
1,679,679,0
595,131,595,1
433,339,339,0
247,452,247,1
19,709,709,0
410,278,410,1
103,142,103,1
37,337,337,0
453,29,453,1
73,113,113,0
374,87,374,1
634,784,784,0
681,790,681,1
181,765,181,1
584,498,498,0
586,590,590,0
732,1,732,1
478,524,478,1
734,19,19,0
634,348,634,1
567,755,567,1
354,82,354,1
417,783,417,1
420,85,420,1
610,215,610,1
350,160,350,1
122,588,588,0
159,77,159,1
398,598,398,1
300,704,704,0
508,293,508,1
763,685,685,0
428,203,428,1
509,199,509,1
106,592,106,1
550,394,550,1
310,48,48,0
80,314,314,0
463,203,463,1
484,9,9,0
700,49,700,1
437,533,533,0
73,485,73,1
627,314,314,0
216,657,216,1
126,617,126,1
632,707,707,0
692,331,692,1
11,309,309,0
483,22,483,1
665,170,170,0
540,337,540,1
39,299,299,0
761,762,762,0
441,1,441,1
434,137,137,0
700,433,700,1
52,379,379,0
158,171,158,1
769,374,769,1
789,690,690,0
393,255,255,0
307,741,307,1
528,492,528,1
212,24,24,0
99,173,99,1
58,253,58,1
226,289,226,1
365,609,365,1
409,532,409,1
647,294,647,1
15,756,756,0
196,774,196,1
265,68,265,1
564,749,749,0
750,248,248,0
142,107,142,1
427,404,427,1
454,302,302,0
323,574,574,0
262,67,67,0
710,434,710,1
291,666,291,1
233,445,233,1
126,494,494,0
252,108,108,0
69,212,212,0
120,342,120,1
224,173,173,0
695,94,94,0
672,355,672,1
409,254,409,1
195,607,607,0
528,327,327,0
127,81,127,1
698,336,336,0
422,705,705,0
432,397,432,1
409,376,409,1
582,424,424,0
521,268,521,1
304,708,708,0
385,492,492,0
560,70,560,1
545,149,149,0
68,362,362,0
672,732,732,0
632,14,632,1
641,341,341,0
365,428,428,0
594,425,425,0
764,529,764,1
397,161,397,1
111,670,670,0
219,738,219,1
408,647,647,0
516,107,107,0
622,736,736,0
212,128,212,1
685,648,648,0
406,420,420,0
501,689,689,0
533,211,533,1
413,580,413,1
74,277,277,0
460,713,713,0
450,8,8,0
376,196,196,0
292,510,510,0
282,186,282,1
384,699,699,0
295,741,741,0
346,790,346,1
269,187,269,1
45,323,323,0
89,778,778,0
151,238,151,1
774,667,774,1
266,301,301,0
602,375,375,0
31,490,490,0
92,182,92,1
588,390,588,1
476,434,476,1
360,426,426,0
101,21,21,0
267,182,267,1
245,72,72,0
10,17,17,0
110,425,425,0
244,177,177,0
209,465,465,0
778,760,778,1
192,721,192,1
340,110,110,0
555,443,443,0
538,82,538,1
123,434,123,1
597,627,597,1
409,56,409,1
458,301,301,0
65,644,65,1
584,319,319,0
262,210,210,0
116,492,116,1
75,480,480,0
38,302,302,0
750,656,656,0
453,174,453,1
375,509,375,1
791,203,791,1
617,266,617,1
480,541,541,0
425,750,425,1
325,276,276,0
385,157,157,0
331,648,648,0
566,34,34,0
86,502,502,0
214,435,214,1
551,778,551,1
300,354,300,1
438,630,438,1
209,397,209,1
582,666,582,1
52,780,780,0
492,417,417,0
519,581,581,0
11,771,771,0
725,340,340,0
286,313,313,0
79,633,633,0
435,83,435,1
565,55,55,0
313,754,313,1
247,685,247,1
698,215,698,1
76,567,567,0
451,21,451,1
132,473,132,1
500,215,500,1
4,13,4,1
111,188,111,1
39,519,519,0
129,303,129,1
306,39,306,1
752,595,595,0
699,458,699,1
708,456,708,1
102,304,102,1
399,239,239,0
37,13,13,0
498,282,498,1
649,489,649,1
535,189,535,1
147,189,147,1
107,32,32,0
688,350,350,0
559,540,540,0
28,44,44,0
277,168,168,0
285,328,328,0
650,652,650,1
638,393,393,0
365,233,233,0
215,290,215,1
576,231,576,1
335,333,335,1
79,392,79,1
181,41,181,1
136,546,136,1
208,685,685,0
634,480,480,0
481,690,481,1
262,47,47,0
87,59,59,0
637,695,695,0
712,74,712,1
696,274,274,0
485,101,101,0
484,661,661,0
721,631,631,0
354,257,257,0
485,605,605,0
27,798,798,0
604,131,131,0
336,532,532,0
298,179,179,0
297,394,394,0
260,358,260,1
429,475,429,1
546,416,546,1
174,224,174,1
65,173,65,1
793,247,793,1
530,437,437,0
154,650,154,1
627,150,150,0
47,334,334,0
146,660,660,0
348,105,348,1
712,575,712,1
602,728,728,0
523,461,523,1
347,526,526,0
579,373,579,1
2,214,214,0
10,596,596,0
531,762,531,1
430,516,430,1
305,400,305,1
158,258,158,1
528,38,528,1
54,600,600,0
424,728,424,1
232,333,232,1
162,114,162,1
59,118,59,1
632,742,742,0
488,708,708,0
180,690,690,0
129,423,423,0
162,439,162,1
592,267,267,0
727,219,727,1
707,764,707,1
537,525,537,1
798,672,672,0
6,47,6,1
421,225,421,1
703,732,732,0
743,248,248,0
773,454,773,1
286,680,286,1
541,302,541,1
210,686,686,0
503,62,503,1
423,734,423,1
280,524,280,1
116,681,116,1
365,680,680,0
330,664,664,0
462,463,463,0
242,325,242,1
131,340,340,0
713,794,794,0
234,667,234,1
270,772,772,0
200,393,393,0
181,351,181,1
546,350,350,0
665,39,39,0
475,402,475,1
383,722,383,1
401,580,580,0
123,609,123,1
502,123,502,1
98,537,537,0
565,716,716,0
512,100,512,1
240,93,93,0
646,468,646,1
89,470,89,1
438,284,438,1
125,31,125,1
570,222,570,1
350,512,512,0
643,42,643,1
560,316,316,0
715,343,715,1
126,622,126,1
278,184,184,0
604,130,130,0
558,573,573,0
411,220,411,1
132,181,132,1
592,748,748,0
709,260,709,1
515,598,598,0
576,530,576,1
512,205,512,1
268,458,268,1
633,113,633,1
368,101,101,0
371,61,61,0
248,339,339,0
256,30,30,0
691,593,691,1
118,349,349,0
216,30,216,1
540,545,540,1
664,13,13,0
292,52,52,0
120,256,256,0
178,456,178,1
148,343,343,0
693,68,68,0
547,719,547,1
93,738,93,1
664,398,398,0
347,589,589,0
222,568,568,0
349,425,349,1
166,559,166,1
50,306,306,0
361,716,716,0
226,509,226,1
2,594,2,1
50,134,134,0
459,111,111,0
667,96,667,1
260,215,215,0
380,694,694,0
496,485,496,1
310,153,153,0
349,663,349,1
516,130,516,1
783,681,783,1
657,355,355,0
549,100,549,1
462,690,690,0
112,465,465,0
117,370,370,0
549,54,549,1
478,593,478,1
497,280,280,0
766,591,766,1
677,17,677,1
251,259,251,1
53,494,494,0
746,494,494,0
475,723,475,1
305,238,305,1
288,524,288,1
751,45,751,1
291,470,291,1
154,325,154,1
638,359,638,1
604,233,233,0
19,369,19,1
526,203,526,1
129,695,129,1
215,719,719,0
518,118,518,1
127,287,127,1
559,214,214,0
762,86,762,1
557,501,557,1
282,605,282,1
307,149,307,1
425,390,425,1
612,731,731,0
387,311,311,0
143,116,116,0
340,268,340,1
14,162,162,0
570,492,570,1
549,127,549,1
484,212,212,0
524,222,524,1
400,151,151,0
375,255,255,0
738,176,738,1
116,490,490,0
2,394,394,0
369,505,505,0
283,254,254,0
545,241,545,1
49,268,268,0
522,177,522,1
699,225,225,0
160,398,398,0
579,691,691,0
337,494,494,0
465,536,465,1
768,738,768,1
541,233,541,1
462,259,259,0
569,796,569,1
145,148,148,0
306,290,306,1
581,549,549,0
81,70,81,1
179,517,179,1
147,629,147,1
274,302,274,1
621,271,271,0
669,318,318,0
533,754,533,1
487,527,527,0
385,160,160,0
49,636,636,0
793,372,793,1
93,477,477,0
572,353,572,1
422,132,132,0
296,599,296,1
771,323,771,1
385,323,385,1
523,519,519,0
390,747,747,0
698,98,698,1
472,295,472,1
667,797,797,0
643,620,643,1
450,700,700,0
583,450,583,1
247,7,7,0
614,638,614,1
15,182,182,0
624,68,68,0
281,716,716,0
167,761,167,1
157,141,157,1
175,697,697,0
791,85,85,0
54,214,214,0
50,406,50,1
585,463,585,1
675,343,343,0
369,392,392,0
30,198,30,1
406,403,403,0
627,173,173,0
671,395,671,1
359,657,657,0
117,707,707,0
654,164,654,1
86,377,86,1
699,454,699,1
440,615,615,0
406,542,542,0
604,142,142,0
231,209,209,0
441,337,337,0
116,790,116,1
305,752,752,0
40,226,40,1
514,602,514,1
629,74,629,1
217,628,628,0
261,24,24,0
613,189,613,1
597,386,597,1
555,682,682,0
165,515,165,1
766,395,766,1
493,378,493,1
339,460,339,1
47,711,711,0
619,451,451,0
105,599,599,0
692,126,692,1
74,693,693,0
45,315,315,0
596,770,596,1
595,392,392,0
102,54,102,1
742,666,742,1
343,407,343,1
438,604,438,1
111,294,111,1
468,342,342,0
528,794,794,0
513,461,513,1
424,604,424,1
383,536,536,0
56,795,795,0
292,246,246,0
593,332,332,0
352,697,697,0
520,184,184,0
504,426,426,0
21,602,21,1
343,622,343,1
224,228,228,0
160,354,160,1
490,24,24,0
158,274,158,1
713,331,713,1
414,518,414,1
141,538,538,0
713,218,713,1
273,765,765,0
97,701,701,0
603,452,603,1
514,640,514,1
542,615,542,1
63,399,63,1
676,142,142,0
274,615,615,0
792,498,792,1
586,751,751,0
495,489,495,1
280,83,280,1
291,54,291,1
73,415,415,0
531,659,531,1
230,674,674,0
455,531,531,0
662,382,662,1
464,751,751,0
572,102,102,0
213,232,232,0
591,100,100,0
470,258,258,0
720,243,720,1
381,783,783,0
157,525,157,1
1,687,687,0
376,301,301,0
665,567,567,0
790,124,124,0
356,436,436,0
715,442,715,1
415,732,415,1
216,195,216,1
520,700,700,0
191,116,116,0
227,573,573,0
83,742,742,0
661,366,366,0
767,15,767,1
567,217,567,1
276,619,276,1
371,31,31,0
163,470,163,1
696,576,576,0
163,132,163,1
496,319,496,1
676,614,614,0
164,141,164,1
639,562,562,0
138,233,138,1
283,413,413,0
227,32,32,0
606,360,606,1
429,375,429,1
286,21,286,1
800,422,422,0
498,199,498,1
214,380,214,1
679,94,679,1
602,150,602,1
163,675,163,1
684,467,467,0
368,376,368,1
137,153,137,1
744,248,248,0
283,336,336,0
282,288,288,0
710,646,710,1
713,250,713,1
654,56,56,0
1,557,557,0
543,762,543,1
130,341,341,0
65,523,65,1
175,563,175,1
157,25,157,1
308,110,110,0
107,213,213,0
150,717,717,0
5,117,5,1
173,576,576,0
296,412,296,1
749,682,682,0
285,44,44,0
494,384,494,1
31,692,31,1
657,402,657,1
483,678,483,1
372,607,607,0
734,724,724,0
268,441,268,1
192,21,192,1
62,576,576,0
369,447,369,1
344,323,344,1
299,410,410,0
689,137,137,0
426,83,426,1
4,307,307,0
54,460,54,1
717,177,717,1
118,739,739,0
350,4,350,1
325,299,299,0
327,406,406,0
491,642,642,0
763,490,490,0
694,565,694,1
199,231,199,1
16,55,55,0
451,598,598,0
52,6,6,0
788,428,428,0
484,451,484,1
101,518,518,0
249,797,249,1
670,131,131,0
715,73,715,1
789,156,156,0
350,749,350,1
551,772,772,0
368,344,368,1
232,405,232,1
421,156,421,1
103,465,103,1
581,299,581,1
743,421,421,0
171,455,455,0
142,562,142,1
656,37,37,0
680,721,721,0
362,528,528,0
453,561,453,1
344,173,344,1
526,701,701,0
525,81,525,1
365,244,244,0
295,290,295,1
307,113,307,1
595,401,401,0
549,600,549,1
243,197,197,0
703,426,703,1
587,461,461,0
82,278,278,0
583,545,583,1
420,394,394,0
131,513,513,0
375,505,505,0
209,115,209,1
215,601,601,0
503,662,662,0
157,79,157,1
197,799,799,0
501,690,690,0
148,106,106,0
671,718,718,0
639,278,278,0
334,778,778,0
211,494,494,0
760,396,760,1
565,616,616,0
716,296,716,1
4,794,794,0
785,218,785,1
445,764,764,0
317,102,102,0
262,787,787,0
2,705,705,0
410,209,410,1
597,682,682,0
737,701,701,0
305,160,160,0
638,310,638,1
63,428,428,0
676,353,676,1
454,55,55,0
390,439,439,0
315,115,115,0
364,302,364,1
797,113,797,1
513,162,513,1
194,763,763,0
10,158,158,0
754,434,434,0
230,61,61,0
692,211,692,1
239,41,239,1
130,226,226,0
254,157,157,0
675,411,675,1
303,569,569,0
461,563,563,0
567,362,362,0
547,675,547,1
184,53,184,1
50,462,462,0
658,226,658,1
296,337,337,0
431,169,431,1
558,428,428,0
457,266,266,0
71,196,71,1
654,735,735,0
104,190,104,1
487,376,376,0
543,631,543,1
759,70,70,0
72,182,72,1
367,124,124,0
439,523,523,0
795,364,795,1
107,711,711,0
255,298,255,1
68,621,68,1
245,372,245,1
800,176,800,1
498,134,134,0
69,368,368,0
103,381,103,1
29,217,29,1
695,359,359,0
65,425,65,1
125,216,216,0
472,456,472,1
366,264,264,0
334,267,267,0
165,486,165,1
440,424,424,0
366,707,707,0
333,221,333,1
711,174,711,1
726,775,726,1
164,157,164,1
478,87,478,1
609,557,557,0
424,340,424,1
760,764,760,1
678,372,372,0
328,39,39,0
250,692,250,1
389,202,202,0
791,771,771,0
635,697,635,1
503,607,503,1
437,5,437,1
343,449,343,1
423,141,423,1
703,99,703,1
559,280,280,0
532,340,340,0
364,765,765,0
590,141,590,1
326,717,717,0
289,188,289,1
538,52,538,1
528,549,528,1
563,202,202,0
642,393,393,0
167,522,522,0
127,352,127,1
649,452,649,1
175,292,175,1
651,313,651,1
750,757,757,0
159,409,409,0
744,529,744,1
64,153,153,0
654,164,654,1
773,708,773,1
6,418,418,0
581,409,409,0
92,331,331,0
266,304,266,1
704,181,704,1
344,156,156,0
717,440,717,1
82,96,82,1
309,730,730,0
91,351,351,0
683,346,683,1
168,403,168,1
627,611,611,0
323,537,537,0
160,205,205,0
448,204,204,0
124,105,124,1
524,321,524,1
601,699,699,0
283,226,283,1
294,305,305,0
489,498,498,0
572,265,572,1
28,548,28,1
249,641,249,1
780,288,288,0
786,611,786,1
155,511,155,1
707,224,707,1
230,139,139,0
468,551,551,0
24,57,24,1
583,614,614,0
490,542,542,0
615,34,34,0
654,356,356,0
759,443,443,0
687,406,687,1
647,747,747,0
546,181,546,1
560,600,600,0
631,432,432,0
449,694,694,0
501,453,453,0
679,309,679,1
647,567,647,1
642,604,604,0
585,757,757,0
401,557,557,0
707,777,707,1
10,88,10,1
460,579,579,0
216,472,472,0
683,160,160,0
595,681,681,0
482,580,580,0
789,179,179,0
155,320,155,1
226,103,103,0
529,2,2,0
232,72,232,1
216,508,508,0
645,417,645,1
409,110,110,0
133,576,133,1
631,616,616,0
549,159,549,1
428,357,428,1
759,402,759,1
627,473,627,1
403,345,345,0
107,652,107,1
492,216,216,0
208,689,689,0
8,656,8,1
735,726,726,0
559,277,559,1
50,470,50,1
568,355,568,1
44,15,44,1
491,411,491,1
658,760,658,1
512,476,512,1
310,138,138,0
708,760,708,1
512,745,745,0
495,162,162,0
730,532,532,0
189,35,35,0
437,607,437,1
669,302,302,0
344,152,344,1
156,791,156,1
565,38,565,1
344,329,344,1
632,505,505,0
130,581,581,0
717,722,717,1
649,303,649,1
367,180,367,1
640,20,20,0
168,277,168,1
691,710,710,0
16,39,16,1
682,335,682,1
508,164,164,0
253,449,253,1
16,352,16,1
786,795,786,1
776,232,232,0
233,571,233,1
125,558,125,1
444,651,444,1
765,576,576,0
453,234,234,0
18,626,626,0
734,400,400,0
635,86,635,1
619,97,619,1
218,519,519,0
219,660,660,0
179,588,588,0
485,609,609,0
326,259,259,0
359,525,525,0
403,677,677,0
637,113,637,1
476,337,476,1
513,781,513,1
384,664,384,1
219,74,219,1
685,139,139,0
132,174,132,1
131,758,131,1
299,341,341,0
279,535,535,0
395,567,567,0
132,194,132,1
444,285,444,1
510,136,136,0
564,703,703,0
216,101,101,0
764,51,764,1
85,267,85,1
364,357,357,0
399,538,538,0
571,729,729,0
574,217,574,1
469,36,469,1
138,485,138,1
448,242,242,0
149,48,48,0
741,121,741,1
602,28,28,0
707,304,707,1
511,667,511,1
310,469,469,0
198,231,198,1
95,446,446,0
292,682,682,0
286,326,326,0
713,523,713,1
481,549,481,1
713,741,713,1
243,377,377,0
202,502,202,1
333,58,333,1
54,244,244,0
721,738,721,1
587,57,57,0
398,392,398,1
455,564,455,1
526,383,526,1
418,767,418,1
748,640,748,1
670,13,13,0
563,276,276,0
756,569,756,1
455,521,521,0
52,565,565,0
740,81,740,1
488,288,288,0
440,439,440,1
251,170,170,0
788,298,298,0
743,245,245,0
181,711,711,0
700,466,700,1
535,192,535,1
323,215,215,0
413,578,413,1
350,238,350,1
573,58,58,0
665,100,665,1
603,422,603,1
38,408,408,0
210,799,799,0
138,539,138,1
477,117,477,1
309,497,497,0
137,223,223,0
34,526,526,0
243,728,728,0
466,375,466,1
777,216,216,0
723,726,726,0
1,766,766,0
668,560,560,0
361,478,478,0
607,343,343,0
600,676,600,1
424,736,424,1
462,169,169,0
447,374,374,0
403,249,249,0
449,517,517,0
645,461,645,1
615,590,590,0
251,539,539,0
56,138,138,0
423,383,423,1
467,506,467,1
583,100,583,1
263,330,263,1
400,214,214,0
662,115,115,0
56,656,656,0
559,342,559,1
552,382,552,1
799,701,701,0
774,694,694,0
649,17,649,1
330,486,330,1
216,584,216,1
746,265,265,0
779,467,467,0
59,797,59,1
298,324,298,1
720,669,720,1
718,675,718,1
542,172,172,0
338,492,338,1
125,186,125,1
557,795,557,1
281,790,281,1
518,776,518,1
428,393,428,1
734,26,26,0
114,228,228,0
306,477,477,0
770,554,554,0
520,371,520,1
579,679,679,0
726,48,726,1
43,30,30,0
14,612,612,0
23,2,23,1
762,104,104,0
386,559,559,0
230,120,230,1
670,174,174,0
788,586,788,1
216,420,420,0
432,484,432,1
397,306,306,0
226,126,126,0
457,601,601,0
369,63,63,0
388,123,388,1
21,518,518,0
656,382,656,1
217,250,250,0
707,179,707,1
702,456,702,1
240,557,557,0
62,154,154,0
84,77,84,1
622,741,622,1
158,565,158,1
158,651,651,0
168,654,654,0
527,237,527,1
38,296,296,0
211,17,211,1
251,220,251,1
625,280,280,0
113,599,599,0
53,330,330,0
778,501,778,1
134,234,234,0
172,777,172,1
15,253,253,0
108,577,108,1
614,352,614,1
2,597,597,0
143,459,143,1
626,304,626,1
316,141,316,1
328,625,625,0
282,535,535,0
674,172,172,0
29,113,29,1
182,391,391,0
752,357,357,0
174,621,174,1
391,102,102,0
721,420,420,0
239,191,191,0
123,729,729,0
642,9,9,0
65,174,65,1
417,708,708,0
94,636,636,0
659,769,659,1
784,601,601,0
113,541,541,0
706,418,418,0
23,635,635,0
151,126,126,0
44,304,44,1
280,494,494,0
323,391,391,0
299,324,299,1
182,126,126,0
780,80,80,0
255,130,130,0
195,711,711,0
725,729,729,0
794,295,794,1
486,683,683,0
416,465,465,0
175,68,175,1
678,318,318,0
76,451,451,0
728,276,276,0
624,562,562,0
111,193,193,0
216,128,216,1
153,394,394,0
291,656,656,0
639,609,609,0
705,738,705,1
219,269,269,0
534,40,534,1
290,192,192,0
546,179,179,0
497,416,497,1
480,427,427,0
521,636,521,1
109,389,109,1
76,214,214,0
242,584,242,1
106,31,31,0
358,86,358,1
152,162,162,0
714,206,714,1
404,508,508,0
223,696,223,1
385,55,55,0
54,626,54,1
370,522,522,0
434,487,434,1
450,607,607,0
505,289,505,1
610,725,610,1
55,91,55,1
536,664,536,1
784,743,784,1
485,614,614,0
221,266,266,0
540,498,540,1
474,286,474,1
15,311,311,0
635,231,635,1
712,422,712,1
177,24,24,0
494,428,494,1
504,97,97,0
648,798,648,1
767,789,767,1
291,367,367,0
658,266,266,0
564,343,343,0
688,627,688,1
243,51,51,0
2,560,560,0
447,176,447,1
357,429,429,0
581,279,581,1
515,87,515,1
147,278,147,1
375,677,677,0
162,524,524,0
197,333,333,0
738,498,498,0
160,199,160,1
642,564,642,1
122,570,570,0
501,370,370,0
83,412,412,0
292,122,292,1
654,459,654,1
453,305,453,1
171,258,171,1
31,547,31,1
321,453,453,0
58,134,134,0
535,158,158,0
207,50,50,0
443,623,623,0
165,688,165,1
564,791,791,0
605,716,716,0
534,268,534,1
454,87,454,1
283,305,283,1
784,246,246,0
737,730,737,1
767,171,171,0
681,484,484,0
677,739,677,1
290,601,601,0
658,82,82,0
661,283,283,0
778,619,778,1
155,378,155,1
703,619,703,1
488,687,687,0
27,325,27,1
681,646,646,0
701,137,701,1
143,42,42,0
218,238,218,1
314,673,314,1
271,229,271,1
193,210,193,1
303,261,261,0
246,592,246,1
570,24,24,0
463,4,4,0
335,743,335,1
405,232,232,0
349,659,349,1
71,16,71,1
800,369,800,1
312,478,478,0
62,470,62,1
760,150,760,1
323,9,9,0
792,126,792,1
779,636,636,0
203,672,672,0
630,552,552,0
568,462,568,1
319,475,475,0
107,773,773,0
424,92,424,1
421,58,421,1
148,615,148,1
239,338,338,0
125,600,125,1
265,784,265,1
517,397,397,0
672,768,768,0
621,453,453,0
568,726,726,0
119,505,505,0
358,707,707,0
542,516,542,1
87,356,87,1
742,150,742,1
397,311,397,1
517,680,517,1
228,43,228,1
581,98,581,1
289,549,549,0
402,59,59,0
722,746,746,0
20,668,20,1
288,540,540,0
455,688,455,1
242,739,242,1
349,207,349,1
694,136,694,1
88,526,526,0
543,682,682,0
768,663,663,0
291,242,242,0
577,745,745,0
378,28,28,0
51,623,623,0
666,102,102,0
622,29,622,1
221,366,366,0
444,62,444,1
577,742,742,0
638,423,423,0
69,508,508,0
297,29,29,0
565,311,565,1
324,416,416,0
764,503,503,0
505,328,328,0
590,256,590,1
